B1,B2,G1,G2,R1,R2,class
88.20424365,118.2895124,88.08253495,121.1305361,89.28350307,121.8867981,agricultural
93.01123841,121.8907453,93.12296319,124.0848795,94.14814459,125.0133337,agricultural
85.59371868,116.9477821,87.26426122,120.5822518,90.25813735,122.9317728,agricultural
91.16495685,117.4143539,91.34558362,120.2835019,93.90940651,120.9188105,agricultural
85.10939536,144.7253527,80.77393134,144.9376837,78.99542518,143.0590886,agricultural
73.53305732,127.4340828,72.84741006,127.9349334,72.09725413,127.1221479,agricultural
63.16347609,111.836714,63.94960547,114.3996607,64.43438935,114.1031152,agricultural
77.53060951,128.9485041,76.25041816,132.0277862,75.71154818,131.3062396,agricultural
61.70664536,123.091518,61.6643015,126.7765492,62.03171508,125.8542527,agricultural
55.67086375,125.4373472,55.80756454,128.633293,56.51213275,129.0215313,agricultural
92.73613009,144.7659659,108.8109837,165.2646426,144.0185161,172.4873403,agricultural
86.92669093,102.2332707,88.44097693,103.9858386,90.11139896,105.4046043,agricultural
98.42761394,149.3570813,120.048623,169.0141113,153.305514,176.9039547,agricultural
74.97679429,119.8526679,76.27363843,124.3750332,75.86684902,123.3875673,agricultural
64.78338013,123.5761215,64.64760987,127.8223003,65.09769521,126.9461573,agricultural
83.0762065,151.5528975,79.89300247,151.6148482,77.58023189,149.3261027,agricultural
102.2033819,144.7024717,104.1358099,150.5776293,102.8344266,147.5253755,agricultural
113.4015365,146.0170844,114.1033357,154.1860657,115.2074473,152.0287289,agricultural
84.37201705,127.3762243,82.21630161,130.5595269,81.92785328,128.7490005,agricultural
106.4466282,146.9481355,111.8550338,160.8685023,127.5883931,163.1173978,agricultural
80.12572948,121.1564034,79.65465509,125.939571,79.13023101,124.4951448,agricultural
56.42419028,109.2049934,55.72272961,118.3012923,57.00758526,121.6929123,agricultural
49.80523837,119.8595983,45.24675188,127.7696941,43.20403399,129.9079806,agricultural
54.75554967,118.2270195,50.83873441,124.8708461,49.19028923,126.1725611,agricultural
101.334467,151.9747244,97.32697699,150.8785441,94.60889571,147.4614034,agricultural
104.9801853,160.4327845,100.5877954,159.8731164,99.15608924,156.9322208,agricultural
104.131552,148.5201708,111.0129078,162.8154229,124.5642237,165.7253625,agricultural
49.65885818,82.69599048,53.52128152,88.54935286,58.19795516,89.53697968,agricultural
53.15448347,85.49507679,57.464301,91.3358184,63.15783447,93.01566003,agricultural
52.53892891,88.70803494,55.89972112,93.99163927,59.06814716,94.44306784,agricultural
113.2428625,137.6346662,112.9894731,152.0417535,108.8168826,143.42612,agricultural
103.0438599,136.1677059,102.1306467,148.08403,96.10438421,137.5674283,agricultural
72.31587205,90.24916783,71.95671689,93.07620826,66.6298493,83.49148944,agricultural
77.64926634,92.99630278,77.45068308,97.36653976,72.70462815,88.29000302,agricultural
57.01181359,90.81303744,60.74142635,100.2435465,70.61662907,102.0859803,agricultural
66.79717736,92.14383086,69.9441035,103.2230739,80.19665938,104.7540827,agricultural
64.95948489,93.07424109,69.7496032,103.8515361,84.58389889,106.4220107,agricultural
108.2817782,125.2326457,107.8544196,117.8361686,106.6235208,109.4152544,agricultural
108.8358336,122.99949,108.3184727,115.2860278,107.3679515,106.4367855,agricultural
124.0262454,142.5209378,124.3426419,152.7623999,126.0711071,150.5852511,agricultural
109.6721429,126.5003742,122.1341907,136.1303424,143.5252184,137.7920468,agricultural
111.5715992,126.7943238,111.936832,139.6545488,128.7524929,140.7965697,agricultural
125.6001417,157.8501551,127.1487931,168.2989692,135.287733,169.354331,agricultural
112.6433486,133.8847705,114.7855888,144.6323415,128.9540199,145.8617349,agricultural
111.305372,130.5995649,119.7409921,143.5754987,142.436456,147.7806237,agricultural
117.2411998,135.678482,121.3590585,149.0064819,147.9118,151.8548045,agricultural
112.2521844,133.6104062,112.2314802,146.1496004,106.1150182,137.022899,agricultural
125.2484549,145.1276285,128.9742156,157.1432031,151.1969357,158.1136797,agricultural
110.4783212,131.6833089,114.1950583,142.6196423,125.680081,144.4466646,agricultural
120.8361555,140.8201262,123.9972683,153.2610066,157.1748695,155.1532584,agricultural
128.275658,147.2878613,128.2746747,158.6644932,121.6346871,145.3938492,agricultural
124.8307806,139.8146662,124.8643413,149.2705525,124.5610586,145.9070393,agricultural
122.2429911,140.9610537,122.5950393,156.0421002,132.5506257,155.7234651,agricultural
123.3729015,151.5157604,128.1598129,168.1867147,157.722069,170.9430832,agricultural
122.0166822,137.1859106,122.1389179,150.1351914,128.286563,149.4201257,agricultural
128.096384,133.3627701,128.1374363,144.8278188,136.5261315,144.7289015,agricultural
118.7152174,134.2000291,122.4893617,146.1019009,148.1557152,147.840565,agricultural
113.3100469,136.0174361,118.4110281,147.7542836,136.3322546,150.4014438,agricultural
134.5484986,152.0492625,134.6747124,167.9770441,145.0835136,167.3791417,agricultural
108.5876736,133.9547626,115.6375931,147.0721283,140.9686345,150.1893072,agricultural
101.3884323,136.3549662,120.4283032,151.0192248,151.5201829,156.7279298,agricultural
136.7055838,177.1545432,146.629279,192.0184408,165.5207563,195.767871,agricultural
89.6415889,118.3463043,91.99365258,123.3504074,95.46564375,126.8491062,agricultural
104.5917296,121.1323667,106.7668414,129.1803147,112.1284756,129.2166572,agricultural
114.8721082,129.9970746,116.0266603,137.9926299,119.0419386,136.7940323,agricultural
98.61087188,134.8987395,101.9696637,142.361021,103.7518845,140.956209,agricultural
86.75350701,123.3240439,89.86031177,130.5462298,94.0340179,133.375331,agricultural
72.66898064,124.7871075,79.10461861,130.1786807,84.14087383,133.7808018,agricultural
65.88730151,121.821451,71.43185244,126.6998256,74.29972748,128.4857897,agricultural
66.44750764,123.1089845,71.90698939,128.4273822,73.98242655,129.5040575,agricultural
76.59358603,135.4321406,75.95937981,133.9851077,74.04508006,131.3872101,agricultural
80.56052656,137.4950696,80.27572482,136.7195038,78.79225719,134.7993668,agricultural
83.70929615,134.9361524,82.21894172,132.358793,79.93203431,128.909236,agricultural
104.3075922,132.0393793,103.6084271,131.605434,105.4915436,133.3975998,agricultural
106.2199958,128.8132216,104.7762195,127.8002612,105.9565895,128.9399324,agricultural
97.21004346,108.0008036,104.1306622,111.8082731,112.2271624,114.6557665,agricultural
99.08345102,140.0167196,100.5618644,142.1517305,98.09832814,138.6563327,agricultural
92.94175125,160.1541167,95.14656853,165.7674433,88.75262209,158.0671015,agricultural
97.42024098,112.8083258,96.61917249,110.396371,93.24812609,105.2256289,agricultural
102.357624,139.9919843,103.674642,151.3883516,105.133358,148.7150424,agricultural
130.1817051,164.2967344,130.0473159,164.4265534,129.4755735,163.8144638,agricultural
112.4777308,143.3309739,112.1606875,143.4186779,110.9366486,142.0920912,agricultural
116.121423,146.0700383,115.881346,146.1847664,114.7219129,144.9650857,agricultural
89.78723404,123.3185469,104.8662975,129.5184375,117.0991703,137.5411769,agricultural
86.67295742,127.6194048,98.87724963,133.9578009,110.2487668,141.9388734,agricultural
85.06108849,129.2423587,96.77789239,135.9008293,108.0489193,144.0011958,agricultural
48.64347826,94.02161385,99.62227288,117.3129038,169.831352,120.5501012,agricultural
47.83201941,93.47350791,76.7690372,110.3665896,131.0692636,119.0503188,agricultural
119.6266995,140.1275238,119.4402886,139.6860159,117.8629813,138.9314668,agricultural
137.9881403,159.1015299,135.1948162,155.7607024,132.7064875,151.7404921,agricultural
110.7947461,144.0238906,109.1623533,142.32287,108.0840406,140.4892354,agricultural
88.39402023,100.9336879,84.70763319,96.61118355,82.79445917,93.18761694,agricultural
73.51141877,111.307871,70.96769963,107.1529038,70.0492468,105.9805275,agricultural
86.37589883,109.2974718,83.1067007,105.7708058,82.72260067,104.340927,agricultural
77.5018877,110.7494729,78.66608306,114.0982175,79.15241311,114.3760068,agricultural
103.1902277,122.8390561,104.9873346,129.2911366,108.7579965,128.4757859,agricultural
91.9007177,126.5184731,89.66708462,122.9975483,89.47004316,123.363537,agricultural
99.2395379,112.4116699,92.75329664,111.5566688,92.75957215,110.6420948,agricultural
87.90201837,138.8680354,91.77657967,153.4449615,98.25348514,152.6910761,agricultural
97.70505087,159.0707071,98.30434537,162.5850761,88.87453265,151.8251643,agricultural
75.54124629,153.7381205,87.96968932,161.0474122,153.1931551,164.3384301,airplane
137.8298011,149.1616228,132.3966917,157.5281103,124.6028183,153.584317,airplane
137.8298011,149.1616228,132.3966917,157.5281103,124.6028183,153.584317,airplane
134.8438297,171.70023,120.7312729,174.659395,118.5897155,170.0701944,airplane
146.3098602,175.5870312,129.8316325,178.7403419,126.8202482,173.0843697,airplane
142.7436418,151.8790646,128.0187816,157.6343271,131.2249925,152.0490796,airplane
116.9309436,164.8744079,101.2742754,168.8764394,111.5501571,165.422563,airplane
154.6838399,172.8952475,140.1216511,179.4480751,138.1942529,176.1785034,airplane
103.8756767,156.4418831,93.87727412,158.3138297,100.2047452,154.0267746,airplane
111.6879499,151.7334417,96.38008688,154.8676012,95.38031528,150.5129234,airplane
107.1250316,150.6286026,90.60297263,153.3783975,91.81946521,148.9295145,airplane
68.11965151,107.8900454,57.92800303,110.4749818,61.66767907,108.8113307,airplane
147.4596034,172.2662735,133.8511764,178.5812991,141.6304833,175.4645783,airplane
134.2335676,159.69569,120.2972628,164.6061779,119.6748633,160.1288492,airplane
40.93343102,75.30300038,47.34386991,82.52233488,73.53468381,84.76934826,airplane
107.9693157,131.0593447,97.74361797,140.9590266,117.8620466,143.4006047,airplane
66.254876,129.7292316,60.32383692,136.0778884,82.91356808,135.5363501,airplane
51.07897693,101.1422086,46.92302613,106.2550909,59.2974755,107.0528262,airplane
54.31616286,107.954459,47.8721521,112.8956411,62.78971794,112.399991,airplane
98.64874715,160.3759363,105.9172511,165.2230241,152.5182946,167.3717359,airplane
81.20221886,155.0904451,92.74819021,159.8038036,122.0917738,163.2933693,airplane
61.31344116,150.372884,64.29107039,154.0670766,109.2853774,154.2228873,airplane
84.60295022,159.424874,106.8367929,168.5003025,163.6042402,172.7595191,airplane
37.62782717,140.2889302,34.63095238,149.0791136,122.0371813,149.4240827,airplane
103.6559679,174.2352655,112.1117264,179.1039467,145.8612934,182.9927715,airplane
104.3578742,163.6264419,106.6350512,167.0915372,141.7297389,167.0454018,airplane
37.98603352,123.661757,39.44866393,127.6165634,77.46086712,127.6182273,airplane
52.85500382,141.6465732,56.65256569,147.6034977,100.6401006,150.1014158,airplane
57.85160532,142.0154895,66.13478013,147.5992762,117.2903084,149.4677861,airplane
56.59361251,141.6147915,62.91421131,147.676015,109.0195632,150.2683686,airplane
48.33392456,135.1790501,49.28874647,138.1563333,89.01237779,137.1956987,airplane
81.1882385,124.3210107,82.07097067,127.8195089,95.29138005,131.1126513,airplane
55.44308272,144.1907069,64.20535526,154.361415,140.3820507,157.1366285,airplane
67.66658157,155.0030835,78.60343164,163.582807,146.5970414,167.1063474,airplane
77.24868687,142.4320305,87.0158264,148.552073,124.3487328,152.2239216,airplane
95.10557969,157.0871369,103.4362511,162.8757035,141.6303257,166.5132669,airplane
69.66700715,153.0291698,86.12417582,161.3056021,149.479609,165.3680824,airplane
89.82964314,127.9721905,92.87547981,132.9177693,106.6280382,137.1087871,airplane
113.2684237,143.363244,112.2111279,155.3401071,145.354451,160.9678954,airplane
76.33641208,123.7120322,73.77522011,136.3368079,112.3826499,141.3881048,airplane
56.25684691,144.0605114,58.10813119,154.4453018,116.4219402,159.3103032,airplane
43.42215061,96.18923043,43.18445315,104.0310945,61.98840197,106.5108392,airplane
37.47070201,67.02043586,37.12962582,70.87110271,40.75485153,71.88921292,airplane
53.84491979,85.65188443,51.03319956,88.90059921,54.27821168,88.51159837,airplane
69.10970464,105.8913658,65.97587179,118.92006,111.6856584,121.9424902,airplane
82.75143026,132.0365985,81.1458928,142.1388667,119.2410586,146.2706655,airplane
82.21556048,120.7310008,75.61407146,128.5780812,83.79155645,133.2889505,airplane
57.7057411,81.87845132,56.88851879,96.0232001,89.44864818,101.431857,airplane
56.92994057,137.8701599,52.91108887,148.2539346,71.21424772,151.2972557,airplane
65.14541457,141.5452093,63.21966098,152.3622632,89.71700093,156.0335942,airplane
62.2145204,131.6234648,60.56671813,141.6439134,86.19989721,144.9985746,airplane
73.00738246,139.1200726,73.30430694,148.1482961,102.279264,151.3518219,airplane
104.4077163,159.7624094,101.4108925,165.3799159,120.3896273,166.0553682,airplane
46.12530608,108.5220241,49.67759004,117.7598413,71.28414723,124.0796248,airplane
61.11553465,124.3139916,62.10071419,134.6397154,94.9841402,138.3092615,airplane
61.74758242,118.5036466,61.72170344,124.8874675,79.07609068,126.7899611,airplane
26.30042438,46.59903232,25.94558875,47.39645653,25.81540723,46.67919214,airplane
37.47660256,94.69721945,39.9018315,100.3295019,73.07718822,100.5014695,airplane
