B1,B2,G1,G2,R1,R2,Class
142.3845872,105.8440034,137.1077369,104.5511098,136.1269603,104.2732848,agricultural
139.779989,109.0107134,136.6986812,107.9761169,135.9354704,107.5965894,agricultural
140.6701704,105.2565688,136.0546542,103.9801056,133.9972405,103.2983328,agricultural
140.207245,105.7268758,137.4266845,104.9059462,136.8598439,104.7231737,agricultural
150.0951365,95.87301519,150.4716059,97.7489948,150.7298565,98.90819802,agricultural
148.1340081,96.50987788,147.3216168,96.11422819,147.7859526,96.5057386,agricultural
142.7319812,91.58052102,139.8368157,90.37996869,140.1614824,90.49232182,agricultural
147.9586295,101.0092802,143.7258632,98.98400897,144.5689055,99.42278936,agricultural
144.3375143,93.59523759,139.3196384,90.44838129,140.5135755,91.4202965,agricultural
147.3958745,88.31216158,144.2739148,85.69869146,144.1568356,85.50730928,agricultural
157.0952685,106.0006447,146.6680085,104.9901455,144.2967366,103.6994278,agricultural
131.3066406,99.22357899,128.05162,99.07160486,126.1401631,98.93117747,agricultural
160.2855524,110.328179,151.575556,110.0885527,149.2719839,109.9955249,agricultural
135.8028511,102.177718,130.2235858,98.83460154,131.1175875,99.52241913,agricultural
141.6523708,94.38173496,137.0253653,90.67132971,138.0213197,91.67589451,agricultural
159.0655439,96.98887243,158.3648141,96.37706978,159.4306896,98.20795159,agricultural
148.3749793,106.1831433,142.7434433,102.2369694,144.6168184,104.6192644,agricultural
146.9771809,113.4079428,139.5305451,111.4157235,141.397862,112.2934814,agricultural
141.3823766,105.0216245,138.2346545,103.0105502,139.3960447,104.2250103,agricultural
150.6519968,109.5347135,144.0743536,107.0578723,143.7386876,104.8249284,agricultural
143.6828717,101.174161,137.6362656,98.889095,138.9281476,99.50344722,agricultural
136.2847674,90.7556274,125.6603768,85.75972689,123.8245859,84.52738546,agricultural
140.3645519,89.38630355,133.2882375,83.43602292,132.4651473,82.83082541,agricultural
141.064676,90.33958131,135.4897327,86.1083745,134.0515207,85.90646544,agricultural
152.9797375,103.3369771,153.288412,104.5069313,154.1898437,107.7157178,agricultural
162.4543427,104.7337391,162.7362765,105.9520462,162.7886332,107.0090534,agricultural
153.0665418,108.8216716,144.4068887,107.3772828,143.8855672,104.876132,agricultural
142.0772595,74.80425598,129.0427083,74.30572111,127.3201387,74.18386913,agricultural
140.0836237,78.49481218,124.1796743,78.13892692,123.0890276,78.06747639,agricultural
137.3718354,78.76667911,125.9343139,77.69504113,124.6335003,77.40296736,agricultural
140.0443452,111.299531,132.5581162,108.1980278,134.5908647,113.6575735,agricultural
140.9392227,106.1310939,132.23923,101.0306258,134.4541528,108.2240824,agricultural
135.1044776,78.50576609,122.710177,78.41086357,124.0434783,78.44627796,agricultural
136.1923077,82.42034695,118.8268877,82.31173915,120.2861842,82.34568367,agricultural
160.5045643,83.05854098,122.5945382,81.14773576,123.5416298,81.0679196,agricultural
134.6098081,86.48302519,110.9054374,84.71431654,112.4512178,84.79448385,agricultural
187.1194379,88.09834278,114.2994874,86.59976184,114.5955337,86.44846243,agricultural
135.3244391,110.9154317,134.3966406,110.7289995,134.8991612,111.3599776,agricultural
133.2191431,111.3775973,132.6804181,111.3279217,132.9920147,111.8477151,agricultural
140.1593185,119.5250101,137.1005627,119.2510701,137.6507632,119.0945034,agricultural
132.0644733,120.6216766,128.2296811,120.3276186,127.4438797,120.1430363,agricultural
134.4821377,118.212951,127.2735747,117.8440676,126.8783982,116.5098696,agricultural
154.5902024,115.8306651,151.5052531,113.9906004,151.2981841,112.3955098,agricultural
138.4199104,117.0659783,133.3306168,115.97183,133.1321369,114.4620985,agricultural
141.8962618,116.6538918,134.0192726,116.2573937,132.3613785,115.9672342,agricultural
139.9277039,121.1289291,136.8186655,121.020926,136.0178544,120.8558874,agricultural
135.7158908,112.8282478,127.4574022,110.8184472,128.2348548,116.2909992,agricultural
144.5395488,119.2176919,143.745712,118.6763073,143.5759086,117.3811359,agricultural
138.9480322,116.8491784,131.8646187,115.8000903,131.5663616,114.2839423,agricultural
142.228785,122.5229943,140.7968582,122.4641783,140.45691,121.9417695,agricultural
140.8790692,119.2186978,136.5105011,119.1374066,138.0870395,126.1652655,agricultural
137.8255286,121.4317303,134.3643354,121.3495007,135.2134278,122.2804274,agricultural
140.2218852,119.2896887,137.4378556,119.2592952,137.4058297,117.999064,agricultural
151.0015053,119.3936369,149.3782951,119.3717669,148.9195924,118.933444,agricultural
137.7196629,120.3016344,134.1129236,120.2466964,134.1336394,119.4778944,agricultural
133.5227768,123.7698396,132.7522722,123.766035,132.5961946,124.3495867,agricultural
136.9069168,122.4709288,134.8661384,122.469976,134.3186437,122.4161255,agricultural
140.2205816,118.1885089,135.5024042,117.9857311,134.7875819,116.8627386,agricultural
148.5964768,121.5710065,147.5826981,121.5710065,147.3495221,120.8164472,agricultural
140.1470228,117.370096,134.9698582,116.6469318,133.9507764,115.5333474,agricultural
145.4411364,115.4070441,139.3425579,114.2873216,137.697161,113.7581635,agricultural
171.931941,112.7278716,171.2328908,107.7037277,171.1225311,107.2811254,agricultural
132.1105626,109.7207998,127.4765095,107.551653,125.4245908,105.8838587,agricultural
133.5875486,115.0541216,123.714351,112.7842197,124.6762295,112.8144911,agricultural
133.3272867,119.159923,130.0504579,117.1104397,130.4142437,117.3337574,agricultural
144.8417318,104.9094123,137.5796273,101.7589695,138.98258,102.8977255,agricultural
135.533217,106.7088775,130.2851195,102.7728992,129.2212537,101.2405712,agricultural
143.35511,91.34245063,141.2122147,89.0057007,140.3756901,87.97651918,agricultural
140.8995071,86.01152339,138.6370519,83.29541062,138.6079215,83.09126192,agricultural
141.0153639,85.92867396,138.1568726,82.66738383,138.4536621,82.81068463,agricultural
149.4665102,90.10596664,149.3948372,90.07343355,150.1218993,91.45031018,agricultural
149.9375021,92.87444046,149.7473525,92.67612293,150.3226759,93.61261237,agricultural
147.0494146,95.28317856,147.4410247,95.84062284,148.3223296,97.42060097,agricultural
140.4699918,113.2070678,141.4418806,114.7686789,140.5304797,113.8697361,agricultural
137.8304348,115.4611868,139.2672204,117.3280408,138.3252081,116.6036036,agricultural
129.9385246,107.5765484,123.1232833,107.2813797,119.5670324,106.9397725,agricultural
148.5627744,103.0246458,142.0874591,100.5336335,144.448883,102.5556178,agricultural
160.927118,93.45108807,156.068605,88.38219255,158.5399929,94.19672391,agricultural
128.2580645,104.6513549,125.6185567,104.6158922,125.6185567,104.6314583,agricultural
144.5111181,107.3995002,137.0619189,103.0911478,138.9003467,105.1600183,agricultural
159.5684262,119.8596141,159.3270379,119.5075027,159.5227897,120.033391,agricultural
146.4011988,115.4609708,145.6140237,114.7982371,146.2717579,115.6577225,agricultural
147.2018405,117.0960555,146.4750211,116.3959982,147.0490023,117.2393966,agricultural
138.4853982,108.2432543,137.3028805,106.8036438,133.6006274,105.12585,agricultural
143.976078,104.7769798,142.8979901,103.5076245,139.5685799,101.5848594,agricultural
146.3411315,103.2053251,145.2251214,101.9245505,141.9400333,99.92394517,agricultural
129.7647059,93.9140872,97.99118951,91.38480401,96.01618702,91.00962506,agricultural
133.6938596,90.83399203,108.3590712,86.55862949,102.0963428,84.24783061,agricultural
142.5478275,120.074313,140.0096737,119.2717683,141.0851698,120.2569966,agricultural
152.2048155,123.172956,152.4871447,126.6269466,153.2534853,130.0754435,agricultural
145.7772742,112.3505362,145.851506,112.9873212,146.856977,115.741455,agricultural
133.3090909,95.7376949,133.125,95.73727856,132.2408377,95.73376032,agricultural
129.5767108,100.7633545,129.6625068,101.159229,129.8023733,101.241733,agricultural
134.1136187,103.2503202,135.1982837,103.7517497,135.5066509,103.8429278,agricultural
129.2727273,102.2611903,119.834144,101.3869157,120.3222529,101.4129713,agricultural
132.6151733,115.8878835,126.5892376,113.2239002,126.9970502,113.8968529,agricultural
136.0780287,109.9277824,137.8947399,113.4483266,137.5970196,113.061057,agricultural
139.7509906,104.7816909,139.8103008,104.8556427,138.4102913,104.4946232,agricultural
147.3233287,99.71033612,138.1349423,94.00194751,139.734174,94.36540101,agricultural
158.4751609,96.32586174,152.8601664,91.62819472,155.9405897,100.5916236,agricultural
162.4201291,91.82676164,162.0049863,90.65734916,161.6277328,89.85932759,airplane
184.1178702,97.30951041,172.8806176,93.94584075,174.4357945,94.15244608,airplane
184.1178702,97.30951041,172.8806176,93.94584075,174.4357945,94.15244608,airplane
179.2872569,63.98312731,178.8103084,61.63215528,178.9386722,62.6997098,airplane
184.9708378,60.1099982,184.7888219,59.47784781,184.9878593,61.0478222,airplane
189.3281355,38.17478526,189.0685404,37.3721355,189.1292583,37.72279631,airplane
177.0544831,71.80272542,175.3946674,68.15088901,175.0349183,68.00633505,airplane
185.0479531,78.72363513,183.1596162,73.94290131,182.8656891,73.5186315,airplane
172.0417651,73.08204155,170.691574,70.40367307,170.7936696,70.99890666,airplane
169.8498852,62.14229855,168.805417,58.91693861,168.8450514,59.24677273,airplane
171.235541,65.8632442,170.0126315,63.56942293,170.0655667,64.33474268,airplane
174.6791809,69.67791066,174.0250369,69.5047938,174.4877166,69.85670328,airplane
177.0858881,67.77313928,176.7359786,65.35999733,176.7862929,66.06956637,airplane
171.1330494,65.60035551,170.4210891,62.40892711,170.4620288,63.00750779,airplane
184.9176796,69.61323479,157.0168269,69.17335912,147.4757645,68.95830882,airplane
173.359415,83.95974235,168.7686433,82.04620579,166.1290883,81.03237661,airplane
164.6172767,69.09972352,160.9767969,64.5212549,160.0270524,63.09841607,airplane
178.0327397,78.5818214,172.7573418,77.96971794,172.9421339,78.0368916,airplane
181.159295,78.7155965,175.5102127,77.90949446,176.3917373,78.17531897,airplane
176.9534145,98.88785369,176.852518,101.2160535,176.4559938,101.7278744,airplane
163.8187812,89.74768148,162.5884761,87.57647591,162.4468255,86.99908179,airplane
162.6549779,83.32027257,160.15082,80.46090368,158.8884841,78.24435111,airplane
161.4611551,95.87558726,160.5572063,89.72575251,160.0414583,85.55859717,airplane
152.0641598,79.24206774,149.4081436,72.04977362,148.1160134,67.48655161,airplane
189.8474938,92.85592538,188.8148274,91.8318609,188.6821682,91.64061245,airplane
190.2037425,92.96205337,189.9269312,92.83695197,189.7085828,92.74593651,airplane
147.2457418,89.17500774,142.6250407,84.02896371,140.1210331,80.40389829,airplane
